City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Pokhara,NP,71.74,overcast clouds,28.2333,83.9833,Butterfly Lodge
13,Rikitea,PF,75.38,overcast clouds,-23.1203,-134.9692,People ThankYou
22,Buta,CD,69.62,light rain,2.7858,24.73,HOTEL BISO NA BISO
26,Shahrud,IR,71.24,clear sky,36.4182,54.9763,Royal Hotel
27,Biak,ID,77.04,overcast clouds,-0.9131,122.8766,Penginapan Kim
29,Airai,TL,73.0,broken clouds,-8.9266,125.4092,Juvinal Martin
37,Yellowknife,CA,70.32,scattered clouds,62.456,-114.3525,The Explorer Hotel
40,Ponta Do Sol,PT,70.43,overcast clouds,32.6667,-17.1,Hotel do Campo
41,Acarau,BR,78.1,clear sky,-2.8856,-40.12,castelo pizzaria
42,Itoman,JP,79.57,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
45,Arraial Do Cabo,BR,69.39,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
47,Atuona,PF,79.05,light rain,-9.8,-139.0333,Villa Enata
51,Alice Springs,AU,74.21,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
57,Santa Marinella,IT,72.41,clear sky,42.0345,11.8536,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
65,Saint-Philippe,RE,71.15,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
66,Celestun,MX,78.21,overcast clouds,20.8667,-90.4,Posada Lilia
69,Muisne,EC,76.35,overcast clouds,0.6,-80.0333,Quinta Samay
78,Jamestown,US,72.99,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
82,Hilo,US,78.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
83,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
103,Manokwari,ID,78.21,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
106,Kontagora,NG,78.89,scattered clouds,10.3999,5.4695,Queens Guest Inn
107,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
109,Zhanaozen,KZ,77.95,overcast clouds,43.3,52.8,K.korabay 28A
110,Aksu,CN,70.63,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
116,Nuevitas,CU,78.24,overcast clouds,21.5453,-77.2644,Hotel Caonaba
118,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
121,College,US,73.35,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
122,Kashi,CN,73.22,few clouds,39.4547,75.9797,帕米尔青年旅舍
124,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
133,Bubaque,GW,76.62,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
142,Fukue,JP,75.56,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
144,Axim,GH,78.94,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
154,Omboue,GA,75.99,overcast clouds,-1.5746,9.2618,Hotel Olako
156,Vieux-Habitants,GP,78.37,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
160,Bartica,GY,77.32,few clouds,6.4,-58.6167,Relax Inn Hotel
161,Cabedelo,BR,74.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
170,Poum,NC,75.02,clear sky,-20.2333,164.0167,Gîte kajeon
175,Shubarkuduk,KZ,70.79,scattered clouds,49.1447,56.4872,Sirius
181,Maturin,VE,73.62,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
183,Altamira,BR,73.33,overcast clouds,-3.2033,-52.2064,Requinte Hotel
188,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
191,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
192,Trairi,BR,76.95,scattered clouds,-3.2778,-39.2689,janelas do mar
205,Korla,CN,70.93,light rain,41.7597,86.1469,Gulisitan Hotel
214,Shingu,JP,77.99,few clouds,33.7333,135.9833,Shingu UI Hotel
217,Wajir,KE,71.92,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
219,Sinnamary,GF,77.86,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
220,Nago,JP,79.65,heavy intensity rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
230,Lompoc,US,78.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
233,Lethem,GY,77.7,overcast clouds,3.3803,-59.7968,Savannah Inn
234,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
235,Sant Feliu De Guixols,ES,75.0,clear sky,41.7833,3.0333,Eden Roc Mediterranean Hotel & Spa
236,Fort Nelson,CA,72.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
240,Fairbanks,US,70.92,overcast clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
244,Methoni,GR,69.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
246,Genhe,CN,75.79,overcast clouds,50.7833,121.5167,Companionship Hotel
248,Caravelas,BR,70.54,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
249,Bandarbeyla,SO,79.36,overcast clouds,9.4942,50.8122,JABIR HOTEL
250,Tanete,ID,79.38,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
255,Manicore,BR,76.95,broken clouds,-5.8092,-61.3003,Hotel Durval
256,Da Lat,VN,70.92,overcast clouds,11.9465,108.4419,Khách Sạn Dragon King I
265,Kilindoni,TZ,77.63,clear sky,-7.9139,39.6668,Bustani B&B
