City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Riyadh,SA,24.6877,46.7219,87.85,11,0,9.22,dust
1,Nizhnevartovsk,RU,60.9344,76.5531,68.02,64,0,6.71,clear sky
2,Albany,US,42.6001,-73.9662,68.92,75,80,6.42,broken clouds
3,Coihaique,CL,-45.5752,-72.0662,37.35,65,0,3.44,clear sky
4,Anadyr,RU,64.75,177.4833,50.5,57,75,13.42,broken clouds
5,Chokurdakh,RU,70.6333,147.9167,64.67,38,100,5.66,overcast clouds
6,Pokhara,NP,28.2333,83.9833,71.74,88,100,4.12,overcast clouds
7,Hobart,AU,-42.8794,147.3294,57.02,92,75,1.01,broken clouds
8,Provideniya,RU,64.3833,-173.3,36.27,97,100,13.71,light rain
9,East London,ZA,-33.0153,27.9116,62.64,74,57,12.33,broken clouds
10,Chuy,UY,-33.6971,-53.4616,55.33,90,0,5.84,clear sky
11,Huarmey,PE,-10.0681,-78.1522,65.93,86,1,8.12,clear sky
12,Nikolskoye,RU,59.7035,30.7861,56.79,93,74,4.9,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,75.38,74,100,13.65,overcast clouds
14,Taitung,TW,22.7583,121.1444,88.07,58,75,2.3,broken clouds
15,Alikovo,RU,55.7383,46.7549,58.87,96,69,6.17,broken clouds
16,Acari,PE,-15.4311,-74.6158,66.99,69,4,1.57,clear sky
17,Busselton,AU,-33.65,115.3333,53.1,65,100,23.17,overcast clouds
18,Hithadhoo,MV,-0.6,73.0833,82.45,74,97,10.11,overcast clouds
19,Saint George,US,37.1041,-113.5841,106.27,5,1,1.01,clear sky
20,Tasiilaq,GL,65.6145,-37.6368,37.56,85,100,2.86,overcast clouds
21,Gastello,RU,49.1167,142.9667,56.12,80,92,2.82,overcast clouds
22,Buta,CD,2.7858,24.73,69.62,98,100,2.06,light rain
23,Moultrie,US,31.1799,-83.7891,80.37,69,1,3.44,clear sky
24,Khatanga,RU,71.9667,102.5,37.4,96,100,16.62,moderate rain
25,Vaini,TO,-21.2,-175.2,80.76,74,20,9.22,few clouds
26,Shahrud,IR,36.4182,54.9763,71.24,54,0,10.29,clear sky
27,Biak,ID,-0.9131,122.8766,77.04,86,100,4.36,overcast clouds
28,Geraldton,AU,-28.7667,114.6,66.61,63,75,6.91,broken clouds
29,Airai,TL,-8.9266,125.4092,73.0,47,66,3.4,broken clouds
30,Grindavik,IS,63.8424,-22.4338,42.75,75,75,16.11,broken clouds
31,Kenai,US,60.5544,-151.2583,65.03,69,1,14.97,clear sky
32,Port Keats,AU,-14.25,129.55,86.99,24,59,2.64,broken clouds
33,New Norfolk,AU,-42.7826,147.0587,56.66,86,99,1.21,overcast clouds
34,Ushuaia,AR,-54.8,-68.3,37.06,81,40,17.27,scattered clouds
35,Cherskiy,RU,68.75,161.3,64.06,30,52,6.42,broken clouds
36,Pevek,RU,69.7008,170.3133,39.45,72,100,7.7,overcast clouds
37,Yellowknife,CA,62.456,-114.3525,70.32,52,40,14.97,scattered clouds
38,Moose Factory,CA,51.2585,-80.6094,53.6,50,90,6.91,overcast clouds
39,Mataura,NZ,-46.1927,168.8643,49.48,91,97,3.18,overcast clouds
40,Ponta Do Sol,PT,32.6667,-17.1,70.43,69,87,5.48,overcast clouds
41,Acarau,BR,-2.8856,-40.12,78.1,83,5,9.86,clear sky
42,Itoman,JP,26.1247,127.6694,79.57,92,75,11.5,moderate rain
43,Lebu,CL,-37.6167,-73.65,48.81,79,100,19.55,overcast clouds
44,Martin,US,27.0837,-80.4164,83.98,78,96,11.65,overcast clouds
45,Arraial Do Cabo,BR,-22.9661,-42.0278,69.39,59,59,10.4,broken clouds
46,Kapaa,US,22.0752,-159.319,84.18,68,75,5.01,broken clouds
47,Atuona,PF,-9.8,-139.0333,79.05,80,97,20.74,light rain
48,Deputatskiy,RU,69.3,139.9,60.28,41,100,1.28,light rain
49,Chapais,CA,49.7834,-74.8492,67.78,56,100,4.52,overcast clouds
50,Molina,CL,-35.1167,-71.2833,54.37,100,90,3.44,light rain
51,Alice Springs,AU,-23.7,133.8833,74.21,21,40,11.99,scattered clouds
52,Cabatuan,PH,10.8794,122.486,85.89,68,93,2.17,overcast clouds
53,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,100,90,9.22,fog
54,Ciudad Bolivar,VE,8.1222,-63.5497,80.92,69,65,12.35,broken clouds
55,Klaksvik,FO,62.2266,-6.589,49.12,84,99,19.98,overcast clouds
56,Barrow,US,71.2906,-156.7887,39.22,81,20,19.57,few clouds
57,Santa Marinella,IT,42.0345,11.8536,72.41,74,0,4.14,clear sky
58,Bluff,NZ,-46.6,168.3333,49.8,89,97,4.85,overcast clouds
59,Mezen,RU,65.8522,44.24,62.73,89,59,9.95,broken clouds
60,Saskylakh,RU,71.9167,114.0833,47.17,41,47,11.61,scattered clouds
61,Yoichi,JP,43.2039,140.7703,66.24,80,73,5.57,broken clouds
62,Coquimbo,CL,-29.9533,-71.3436,51.53,87,20,3.44,few clouds
63,Salalah,OM,17.0151,54.0924,82.49,89,40,2.3,scattered clouds
